"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"25",2013,1,2,1607,1030,337,2003,1355,368,"AA",179,"N324AA","JFK","SFO",346,2586,10,30,2013-01-02 10:00:00
"26",2013,1,2,1728,1515,133,1843,1632,131,"EV",4133,"N13975","EWR","IAD",48,212,15,15,2013-01-02 15:00:00
"27",2013,1,2,1751,1450,181,2041,1755,166,"AA",1813,"N5FFAA","JFK","MCO",149,944,14,50,2013-01-02 14:00:00
"28",2013,1,2,1755,1547,128,1929,1708,141,"EV",3272,"N21130","EWR","BUF",51,282,15,47,2013-01-02 15:00:00
"29",2013,1,2,1845,1645,120,2137,1859,158,"9E",3983,"N8412F","EWR","CVG",131,569,16,45,2013-01-02 16:00:00
"30",2013,1,2,1909,1621,168,2116,1816,180,"EV",4092,"N13553","EWR","DAY",102,533,16,21,2013-01-02 16:00:00
"31",2013,1,2,2005,1705,180,2126,1830,176,"MQ",4410,"N810MQ","JFK","DCA",49,213,17,5,2013-01-02 17:00:00
"32",2013,1,2,2043,1759,164,2251,1949,182,"EV",4581,"N18557","EWR","CMH",103,463,17,59,2013-01-02 17:00:00
"33",2013,1,2,2115,1837,158,2322,2045,157,"EV",4125,"N41104","EWR","GRR",113,605,18,37,2013-01-02 18:00:00
"34",2013,1,2,2131,1512,379,2340,1741,359,"UA",488,"N593UA","LGA","DEN",228,1620,15,12,2013-01-02 15:00:00
"35",2013,1,2,2145,1925,140,54,2244,130,"DL",2139,"N368NW","LGA","MIA",159,1096,19,25,2013-01-02 19:00:00
"36",2013,1,2,2225,1930,175,231,2219,252,"EV",4204,"N21130","EWR","OKC",286,1325,19,30,2013-01-02 19:00:00
"37",2013,1,3,50,2145,185,203,2311,172,"B6",104,"N329JB","JFK","BUF",58,301,21,45,2013-01-03 21:00:00
"38",2013,1,3,235,2359,156,700,437,143,"B6",727,"N618JB","JFK","BQN",186,1576,23,59,2013-01-03 23:00:00
"39",2013,1,3,854,630,144,1057,810,167,"AA",303,"N3DFAA","LGA","ORD",133,733,6,30,2013-01-03 06:00:00
"40",2013,1,3,909,700,129,1103,850,133,"AA",305,"N201AA","LGA","ORD",138,733,7,0,2013-01-03 07:00:00
"41",2013,1,3,1503,1221,162,1803,1555,128,"UA",551,"N835UA","EWR","SFO",320,2565,12,21,2013-01-03 12:00:00
"42",2013,1,3,1624,1330,174,1900,1605,175,"DL",2043,"N392DA","JFK","ATL",140,760,13,30,2013-01-03 13:00:00
"43",2013,1,3,1821,1530,171,2131,1910,141,"AA",85,"N357AA","JFK","SFO",328,2586,15,30,2013-01-03 15:00:00
"44",2013,1,3,1834,1540,174,2040,1744,176,"EV",4207,"N34110","EWR","MSP",152,1008,15,40,2013-01-03 15:00:00
"45",2013,1,3,2008,1540,268,2339,1909,270,"DL",2027,"N338NW","JFK","FLL",158,1069,15,40,2013-01-03 15:00:00
"46",2013,1,3,2012,1600,252,2314,1857,257,"B6",369,"N558JB","LGA","PBI",151,1035,16,0,2013-01-03 16:00:00
"47",2013,1,3,2056,1605,291,2239,1754,285,"9E",3459,"N928XJ","JFK","BNA",125,765,16,5,2013-01-03 16:00:00
"48",2013,1,3,2114,1836,158,2240,2010,150,"B6",130,"N329JB","JFK","BUF",61,301,18,36,2013-01-03 18:00:00
"49",2013,1,3,2257,2000,177,45,2224,141,"9E",3439,"N931XJ","JFK","CVG",90,589,20,0,2013-01-03 20:00:00
"50",2013,1,4,106,2245,141,201,2356,125,"B6",608,"N192JB","JFK","PWM",44,273,22,45,2013-01-04 22:00:00
"51",2013,1,4,1112,855,137,1310,1104,126,"9E",3353,"N600LR","JFK","DTW",92,509,8,55,2013-01-04 08:00:00
"52",2013,1,4,1152,855,177,1319,1038,161,"EV",3815,"N13989","EWR","GSO",69,445,8,55,2013-01-04 08:00:00
"53",2013,1,4,1305,1030,155,1452,1210,162,"AA",321,"N456AA","LGA","ORD",118,733,10,30,2013-01-04 10:00:00
"54",2013,1,4,1829,1615,134,1937,1721,136,"EV",4502,"N15983","EWR","PHL",28,80,16,15,2013-01-04 16:00:00
"55",2013,1,4,2058,1730,208,2,2110,172,"B6",179,"N523JB","JFK","PHX",285,2153,17,30,2013-01-04 17:00:00
"56",2013,1,4,2123,1635,288,2332,1856,276,"EV",3805,"N29917","EWR","SAV",109,708,16,35,2013-01-04 16:00:00
"57",2013,1,4,2208,1946,142,7,2154,133,"EV",4536,"N14953","EWR","CVG",97,569,19,46,2013-01-04 19:00:00
"58",2013,1,4,2221,1858,203,116,2240,156,"UA",1111,"N33284","EWR","PHX",279,2133,18,58,2013-01-04 18:00:00
"59",2013,1,5,37,2230,127,341,131,130,"B6",11,"N527JB","JFK","FLL",163,1069,22,30,2013-01-05 22:00:00
"60",2013,1,5,1232,815,257,1405,957,248,"9E",3521,"N907XJ","JFK","ORD",133,740,8,15,2013-01-05 08:00:00
"61",2013,1,5,1344,817,327,1635,1127,308,"DL",1109,"N309US","LGA","TPA",158,1010,8,17,2013-01-05 08:00:00
"62",2013,1,5,1930,1545,225,2139,1806,213,"UA",256,"N593UA","EWR","DEN",220,1605,15,45,2013-01-05 15:00:00
"63",2013,1,6,943,700,163,1227,932,175,"EV",4304,"N11106","EWR","MSY",200,1167,7,0,2013-01-06 07:00:00
"64",2013,1,6,1113,830,163,1253,1013,160,"EV",3815,"N26549","EWR","GSO",80,445,8,30,2013-01-06 08:00:00
"65",2013,1,6,1242,920,202,1527,1233,174,"UA",1142,"N74856","EWR","LAX",324,2454,9,20,2013-01-06 09:00:00
"66",2013,1,6,1801,1524,157,1923,1648,155,"EV",4581,"N11106","EWR","MKE",111,725,15,24,2013-01-06 15:00:00
"67",2013,1,6,2051,1820,151,2206,2005,121,"AA",353,"N3DAAA","LGA","ORD",111,733,18,20,2013-01-06 18:00:00
"68",2013,1,7,1101,829,152,1225,1012,133,"EV",3815,"N13553","EWR","GSO",70,445,8,29,2013-01-07 08:00:00
"69",2013,1,7,1323,830,293,1604,1154,250,"UA",112,"N12116","JFK","LAX",311,2475,8,30,2013-01-07 08:00:00
"70",2013,1,7,1438,1218,140,1645,1415,150,"EV",4135,"N14143","EWR","CLT",84,529,12,18,2013-01-07 12:00:00
"71",2013,1,7,1927,1629,178,2219,1931,168,"B6",369,"N523JB","LGA","PBI",148,1035,16,29,2013-01-07 16:00:00
"72",2013,1,7,2021,1415,366,2332,1724,368,"B6",377,"N789JB","LGA","FLL",153,1076,14,15,2013-01-07 14:00:00
"73",2013,1,7,2257,2025,152,155,2331,144,"UA",299,"N839UA","EWR","DFW",194,1372,20,25,2013-01-07 20:00:00
"74",2013,1,8,1307,959,188,1426,1122,184,"EV",5736,"N826AS","LGA","IAD",43,229,9,59,2013-01-08 09:00:00
"75",2013,1,8,1612,1330,162,1844,1617,147,"B6",525,"N309JB","EWR","MCO",139,937,13,30,2013-01-08 13:00:00
"76",2013,1,8,1627,1359,148,1729,1517,132,"EV",5712,"N826AS","JFK","IAD",44,228,13,59,2013-01-08 13:00:00
"77",2013,1,8,1728,1505,143,1843,1637,126,"9E",3393,"N917XJ","JFK","DCA",44,213,15,5,2013-01-08 15:00:00
"78",2013,1,9,641,900,1301,1242,1530,1272,"HA",51,"N384HA","JFK","HNL",640,4983,9,0,2013-01-09 09:00:00
"79",2013,1,9,1041,805,156,1135,915,140,"EV",4688,"N12924","EWR","MHT",35,209,8,5,2013-01-09 08:00:00
"80",2013,1,9,2158,1930,148,18,2213,125,"DL",1715,"N324NB","LGA","MSY",179,1183,19,30,2013-01-09 19:00:00
"81",2013,1,9,2223,1810,253,111,2104,247,"UA",477,"N465UA","EWR","LAS",329,2227,18,10,2013-01-09 18:00:00
"82",2013,1,10,917,655,142,1144,927,137,"B6",117,"N643JB","JFK","MSY",188,1182,6,55,2013-01-10 06:00:00
"83",2013,1,10,1121,1635,1126,1239,1810,1109,"MQ",3695,"N517MQ","EWR","ORD",111,719,16,35,2013-01-10 16:00:00
"84",2013,1,10,1406,1050,196,1703,1405,178,"B6",373,"N593JB","LGA","FLL",144,1076,10,50,2013-01-10 10:00:00
"85",2013,1,10,1525,900,385,1713,1039,394,"UA",544,"N419UA","LGA","ORD",123,733,9,0,2013-01-10 09:00:00
"86",2013,1,10,2137,1630,307,17,1925,292,"UA",1178,"N75435","EWR","IAH",197,1400,16,30,2013-01-10 16:00:00
"87",2013,1,11,1047,800,167,1356,1125,151,"UA",397,"N510UA","JFK","SFO",337,2586,8,0,2013-01-11 08:00:00
"88",2013,1,11,1310,710,360,1438,850,348,"MQ",3737,"N509MQ","EWR","ORD",116,719,7,10,2013-01-11 07:00:00
"89",2013,1,11,1322,1100,142,1445,1215,150,"MQ",3792,"N539MQ","JFK","DCA",60,213,11,0,2013-01-11 11:00:00
"90",2013,1,11,1826,1510,196,2102,1801,181,"UA",315,"N553UA","EWR","MCO",127,937,15,10,2013-01-11 15:00:00
"91",2013,1,11,1902,1605,177,2231,1944,167,"DL",1508,"N976DL","JFK","RSW",158,1074,16,5,2013-01-11 16:00:00
"92",2013,1,11,2136,1735,241,2245,1925,200,"WN",408,"N286WN","LGA","BNA",115,764,17,35,2013-01-11 17:00:00
"93",2013,1,11,2141,1800,221,20,2015,245,"EV",4397,"N13124","EWR","MCI",169,1092,18,0,2013-01-11 18:00:00
"94",2013,1,12,1755,1517,158,2046,1816,150,"B6",537,"N766JB","EWR","TPA",139,997,15,17,2013-01-12 15:00:00
"95",2013,1,12,1812,1330,282,2047,1617,270,"B6",525,"N346JB","EWR","MCO",125,937,13,30,2013-01-12 13:00:00
"96",2013,1,13,3,2030,213,340,2350,230,"B6",1069,"N281JB","JFK","AUS",243,1521,20,30,2013-01-13 20:00:00
"97",2013,1,13,10,2135,155,305,36,149,"B6",11,"N595JB","JFK","FLL",144,1069,21,35,2013-01-13 21:00:00
"98",2013,1,13,48,2140,188,203,2306,177,"B6",104,"N192JB","JFK","BUF",55,301,21,40,2013-01-13 21:00:00
"99",2013,1,13,108,2245,143,222,2357,145,"B6",128,"N634JB","JFK","BTV",46,266,22,45,2013-01-13 22:00:00
"100",2013,1,13,115,2000,315,409,2312,297,"B6",801,"N552JB","JFK","FLL",143,1069,20,0,2013-01-13 20:00:00
"101",2013,1,13,1121,830,171,1644,1335,189,"DL",301,"N699DL","JFK","SJU",229,1598,8,30,2013-01-13 08:00:00
"102",2013,1,13,1235,859,216,1502,1142,200,"UA",565,"N504UA","EWR","LAS",297,2227,8,59,2013-01-13 08:00:00
"103",2013,1,13,1402,1129,153,1649,1438,131,"B6",133,"N536JB","JFK","RSW",151,1074,11,29,2013-01-13 11:00:00
"104",2013,1,13,1405,1130,155,1649,1422,147,"UA",1000,"N14120","EWR","MCO",140,937,11,30,2013-01-13 11:00:00
"105",2013,1,13,1517,1300,137,1741,1406,215,"9E",3638,"N8775A","JFK","PHL",43,94,13,0,2013-01-13 13:00:00
"106",2013,1,13,1700,1445,135,1902,1640,142,"EV",4381,"N10575","EWR","DTW",104,488,14,45,2013-01-13 14:00:00
"107",2013,1,13,1726,1508,138,1920,1705,135,"EV",4326,"N14977","EWR","CLT",92,529,15,8,2013-01-13 15:00:00
"108",2013,1,13,1809,810,599,2054,1042,612,"DL",269,"N322NB","JFK","ATL",116,760,8,10,2013-01-13 08:00:00
"109",2013,1,13,1826,1623,123,1956,1730,146,"EV",4299,"N13913","EWR","DCA",43,199,16,23,2013-01-13 16:00:00
"110",2013,1,13,1846,1610,156,2034,1807,147,"EV",4092,"N14203","EWR","DAY",84,533,16,10,2013-01-13 16:00:00
"111",2013,1,13,1929,1700,149,2232,2006,146,"B6",509,"N625JB","EWR","FLL",144,1065,17,0,2013-01-13 17:00:00
"112",2013,1,13,1936,1722,134,2105,1844,141,"EV",4300,"N15980","EWR","RIC",51,277,17,22,2013-01-13 17:00:00
"113",2013,1,13,1940,1729,131,2150,1935,135,"EV",4382,"N14179","EWR","DTW",86,488,17,29,2013-01-13 17:00:00
"114",2013,1,13,1940,1644,176,2131,1820,191,"EV",4485,"N12921","EWR","RDU",72,416,16,44,2013-01-13 16:00:00
"115",2013,1,13,2020,1815,125,2203,1952,131,"9E",4277,"N8775A","JFK","ORF",50,290,18,15,2013-01-13 18:00:00
"116",2013,1,13,2021,1730,171,2328,2023,185,"UA",1637,"N73259","EWR","TPA",149,997,17,30,2013-01-13 17:00:00
"117",2013,1,13,2047,1845,122,2304,2050,134,"EV",4227,"N13988","EWR","GRR",94,605,18,45,2013-01-13 18:00:00
"118",2013,1,13,2115,1800,195,2241,1910,211,"WN",808,"N652SW","EWR","BWI",39,169,18,0,2013-01-13 18:00:00
"119",2013,1,13,2134,1900,154,115,2238,157,"DL",87,"N718TW","JFK","LAX",346,2475,19,0,2013-01-13 19:00:00
"120",2013,1,13,2158,1855,183,230,2355,155,"AA",1613,"N5DTAA","JFK","SJU",190,1598,18,55,2013-01-13 18:00:00
"121",2013,1,13,2215,1835,220,116,2128,228,"B6",527,"N566JB","EWR","MCO",134,937,18,35,2013-01-13 18:00:00
"122",2013,1,13,2241,2005,156,43,2133,190,"EV",4224,"N13913","EWR","MKE",126,725,20,5,2013-01-13 20:00:00
"123",2013,1,13,2248,1940,188,142,2240,182,"AA",1787,"N3EPAA","JFK","TPA",154,1005,19,40,2013-01-13 19:00:00
"124",2013,1,13,2252,2000,172,119,2208,191,"EV",3822,"N10575","EWR","TYS",102,631,20,0,2013-01-13 20:00:00
"125",2013,1,13,2259,1910,229,121,2118,243,"EV",4543,"N14188","EWR","DSM",163,1017,19,10,2013-01-13 19:00:00
"126",2013,1,13,2300,2039,141,357,130,147,"UA",1071,"N37281","EWR","BQN",190,1585,20,39,2013-01-13 20:00:00
"127",2013,1,13,2311,2005,186,125,2230,175,"9E",4033,"N8659B","LGA","TYS",105,647,20,5,2013-01-13 20:00:00
"128",2013,1,13,2316,2056,140,121,2300,141,"EV",4348,"N14203","EWR","MSP",153,1008,20,56,2013-01-13 20:00:00
"129",2013,1,13,2358,2045,193,233,2310,203,"B6",115,"N239JB","JFK","MSY",187,1182,20,45,2013-01-13 20:00:00
"130",2013,1,13,2359,2130,149,435,218,137,"B6",701,"N337JB","JFK","SJU",189,1598,21,30,2013-01-13 21:00:00
"131",2013,1,14,1026,600,266,1147,715,272,"EV",5716,"N827AS","JFK","IAD",52,228,6,0,2013-01-14 06:00:00
"132",2013,1,14,1123,825,178,1240,945,175,"MQ",4418,"N856MQ","JFK","DCA",51,213,8,25,2013-01-14 08:00:00
"133",2013,1,14,1221,1006,135,1444,1219,145,"EV",4250,"N16541","EWR","IND",124,645,10,6,2013-01-14 10:00:00
"134",2013,1,14,1437,1235,122,1621,1415,126,"MQ",4404,"N856MQ","JFK","RDU",75,427,12,35,2013-01-14 12:00:00
"135",2013,1,14,1652,1445,127,1806,1606,120,"9E",3452,"N934XJ","JFK","BOS",40,187,14,45,2013-01-14 14:00:00
"136",2013,1,14,2229,1655,334,157,2029,328,"DL",706,"N370NW","JFK","AUS",243,1521,16,55,2013-01-14 16:00:00
"137",2013,1,14,2251,1935,196,47,2145,182,"9E",3899,"N8623A","JFK","CLE",79,425,19,35,2013-01-14 19:00:00
"138",2013,1,14,2301,1855,246,212,2245,207,"VX",29,"N626VA","JFK","SFO",351,2586,18,55,2013-01-14 18:00:00
"139",2013,1,15,925,635,170,1244,1002,162,"UA",421,"N403UA","EWR","SFO",338,2565,6,35,2013-01-15 06:00:00
"140",2013,1,15,1838,1600,158,2043,1736,187,"UA",627,"N843UA","EWR","ORD",133,719,16,0,2013-01-15 16:00:00
"141",2013,1,15,1852,1645,127,2103,1853,130,"EV",4997,"N713EV","EWR","DTW",93,488,16,45,2013-01-15 16:00:00
"142",2013,1,15,1947,1700,167,2241,1950,171,"AA",575,"N5EGAA","JFK","EGE",265,1747,17,0,2013-01-15 17:00:00
"143",2013,1,16,2,2125,157,119,2250,149,"MQ",4660,"N504MQ","LGA","BNA",121,764,21,25,2013-01-16 21:00:00
"144",2013,1,16,3,1946,257,212,2154,258,"EV",4536,"N16987","EWR","CVG",111,569,19,46,2013-01-16 19:00:00
"145",2013,1,16,943,700,163,1141,815,206,"UA",1142,"N24211","EWR","BOS",33,200,7,0,2013-01-16 07:00:00
"146",2013,1,16,1018,810,128,1252,1042,130,"DL",269,"N347NB","JFK","ATL",129,760,8,10,2013-01-16 08:00:00
"147",2013,1,16,1121,920,121,1501,1245,136,"AA",721,"N475AA","LGA","DFW",247,1389,9,20,2013-01-16 09:00:00
"148",2013,1,16,1159,955,124,1306,1100,126,"9E",3667,"N8976E","JFK","PHL",35,94,9,55,2013-01-16 09:00:00
"149",2013,1,16,1214,1000,134,1346,1123,143,"EV",5736,"N829AS","LGA","IAD",49,229,10,0,2013-01-16 10:00:00
"150",2013,1,16,1256,1025,151,1502,1231,151,"EV",5026,"N760EV","EWR","DTW",96,488,10,25,2013-01-16 10:00:00
"151",2013,1,16,1419,1218,121,1623,1415,128,"EV",4641,"N12564","EWR","CLT",107,529,12,18,2013-01-16 12:00:00
"152",2013,1,16,1454,1245,129,1602,1350,132,"AA",1850,"N3HMAA","JFK","BOS",38,187,12,45,2013-01-16 12:00:00
"153",2013,1,16,1622,800,502,1911,1054,497,"B6",517,"N661JB","EWR","MCO",144,937,8,0,2013-01-16 08:00:00
"154",2013,1,16,1741,1530,131,1933,1711,142,"9E",3719,"N8646A","LGA","RIC",63,292,15,30,2013-01-16 15:00:00
"155",2013,1,16,1823,1459,204,2129,1757,212,"B6",393,"N789JB","LGA","MCO",152,950,14,59,2013-01-16 14:00:00
"156",2013,1,16,1828,1456,212,1943,1624,199,"9E",4357,"N8794B","JFK","ORF",55,290,14,56,2013-01-16 14:00:00
"157",2013,1,16,1914,1540,214,2029,1716,193,"9E",4178,"N820AY","JFK","ROC",52,264,15,40,2013-01-16 15:00:00
"158",2013,1,16,1917,1550,207,2146,1826,200,"9E",3427,"N907XJ","JFK","IND",124,665,15,50,2013-01-16 15:00:00
"159",2013,1,16,1919,1619,180,2020,1723,177,"EV",4271,"N14186","EWR","ALB",30,143,16,19,2013-01-16 16:00:00
"160",2013,1,16,1922,1722,120,2049,1844,125,"EV",4300,"N13964","EWR","RIC",57,277,17,22,2013-01-16 17:00:00
"161",2013,1,16,1941,1550,231,2215,1820,235,"9E",3355,"N931XJ","JFK","MSP",179,1029,15,50,2013-01-16 15:00:00
"162",2013,1,16,2007,1730,157,2225,1936,169,"EV",4382,"N11539","EWR","DTW",104,488,17,30,2013-01-16 17:00:00
"163",2013,1,16,2013,1505,308,2136,1637,299,"9E",3393,"N920XJ","JFK","DCA",51,213,15,5,2013-01-16 15:00:00
"164",2013,1,16,2019,1725,174,2230,1933,177,"EV",4323,"N14570","EWR","CVG",116,569,17,25,2013-01-16 17:00:00
"165",2013,1,16,2046,1605,281,2225,1754,271,"9E",3459,"N925XJ","JFK","BNA",142,765,16,5,2013-01-16 16:00:00
"166",2013,1,16,2048,1835,133,2332,2128,124,"B6",527,"N659JB","EWR","MCO",141,937,18,35,2013-01-16 18:00:00
"167",2013,1,16,2057,1710,227,13,2015,238,"AA",695,"N3CKAA","JFK","AUS",239,1521,17,10,2013-01-16 17:00:00
"168",2013,1,16,2113,1810,183,2325,2037,168,"9E",3542,"N918XJ","JFK","MSP",173,1029,18,10,2013-01-16 18:00:00
"169",2013,1,16,2114,1904,130,2314,2109,125,"EV",4175,"N26545","EWR","CLT",100,529,19,4,2013-01-16 19:00:00
"170",2013,1,16,2125,1800,205,2356,2015,221,"EV",4397,"N11119","EWR","MCI",185,1092,18,0,2013-01-16 18:00:00
"171",2013,1,16,2129,1920,129,2324,2121,123,"9E",3373,"N922XJ","JFK","RDU",74,427,19,20,2013-01-16 19:00:00
"172",2013,1,16,2150,1940,130,2317,2106,131,"9E",4091,"N8943A","JFK","BWI",43,184,19,40,2013-01-16 19:00:00
"173",2013,1,16,2156,1936,140,2300,2056,124,"EV",5693,"N877AS","LGA","IAD",47,229,19,36,2013-01-16 19:00:00
"174",2013,1,16,2220,1930,170,38,2151,167,"9E",3798,"N8794B","JFK","CLT",105,541,19,30,2013-01-16 19:00:00
"175",2013,1,16,2232,2000,152,5,2147,138,"9E",3320,"N936XJ","JFK","BUF",67,301,20,0,2013-01-16 20:00:00
"176",2013,1,16,2239,2005,154,15,2133,162,"EV",4224,"N13908","EWR","MKE",134,725,20,5,2013-01-16 20:00:00
"177",2013,1,16,2241,2029,132,2342,2140,122,"9E",3609,"N8694A","JFK","PHL",26,94,20,29,2013-01-16 20:00:00
"178",2013,1,16,2241,2005,156,56,2230,146,"9E",4033,"N8982A","LGA","TYS",113,647,20,5,2013-01-16 20:00:00
"179",2013,1,16,2242,1900,222,30,2033,237,"EV",5683,"N15910","EWR","BNA",139,748,19,0,2013-01-16 19:00:00
"180",2013,1,16,2251,1915,216,24,2111,193,"9E",3525,"N602LR","JFK","ORD",134,740,19,15,2013-01-16 19:00:00
"181",2013,1,16,2254,2042,132,100,2231,149,"EV",3833,"N14953","EWR","STL",159,872,20,42,2013-01-16 20:00:00
"182",2013,1,16,2256,2055,121,103,2250,133,"MQ",4573,"N737MQ","LGA","DTW",103,502,20,55,2013-01-16 20:00:00
"183",2013,1,17,801,600,121,1002,801,121,"EV",4911,"N752EV","EWR","DTW",94,488,6,0,2013-01-17 06:00:00
"184",2013,1,17,823,600,143,1125,910,135,"AA",707,"N3JDAA","LGA","DFW",204,1389,6,0,2013-01-17 06:00:00
"185",2013,1,17,1012,610,242,1302,910,232,"AA",1895,"N5DCAA","EWR","MIA",152,1085,6,10,2013-01-17 06:00:00
"186",2013,1,17,1019,600,259,1149,724,265,"EV",6055,"N11565","LGA","IAD",54,229,6,0,2013-01-17 06:00:00
"187",2013,1,17,1130,715,255,1436,1045,231,"AA",443,"N319AA","JFK","MIA",154,1089,7,15,2013-01-17 07:00:00
"188",2013,1,17,1343,1133,130,1530,1309,141,"EV",4671,"N14171","EWR","RDU",84,416,11,33,2013-01-17 11:00:00
"189",2013,1,17,1752,1520,152,1927,1644,163,"EV",4581,"N15986","EWR","MKE",128,725,15,20,2013-01-17 15:00:00
"190",2013,1,17,1822,1616,126,2016,1813,123,"EV",4092,"N10156","EWR","DAY",96,533,16,16,2013-01-17 16:00:00
"191",2013,1,17,1833,1435,238,1947,1559,228,"YV",3750,"N510MJ","LGA","IAD",54,229,14,35,2013-01-17 14:00:00
"192",2013,1,17,1919,1645,154,2125,1906,139,"9E",4027,"N8794B","EWR","CVG",99,569,16,45,2013-01-17 16:00:00
"193",2013,1,17,2116,1845,151,2334,2050,164,"EV",4227,"N13956","EWR","GRR",107,605,18,45,2013-01-17 18:00:00
"194",2013,1,17,2231,2000,151,2339,2125,134,"EV",4412,"N11544","EWR","BUF",55,282,20,0,2013-01-17 20:00:00
"195",2013,1,18,1243,950,173,1512,1210,182,"9E",3961,"N8683B","LGA","GRR",110,618,9,50,2013-01-18 09:00:00
"196",2013,1,18,1321,829,292,1453,1012,281,"EV",3815,"N11119","EWR","GSO",73,445,8,29,2013-01-18 08:00:00
"197",2013,1,18,1518,1218,180,1721,1415,186,"EV",4641,"N15986","EWR","CLT",92,529,12,18,2013-01-18 12:00:00
"198",2013,1,18,1603,1330,153,1838,1605,153,"DL",2043,"N373DA","JFK","ATL",112,760,13,30,2013-01-18 13:00:00
"199",2013,1,18,1824,1619,125,1935,1723,132,"EV",4271,"N21129","EWR","ALB",38,143,16,19,2013-01-18 16:00:00
"200",2013,1,18,1827,1600,147,2152,1925,147,"AA",1467,"N3BPAA","LGA","MIA",160,1096,16,0,2013-01-18 16:00:00
"201",2013,1,18,1837,1436,241,2007,1543,264,"EV",4372,"N11164","EWR","DCA",40,199,14,36,2013-01-18 14:00:00
"202",2013,1,18,2019,1729,170,2142,1902,160,"EV",4480,"N15986","EWR","PIT",58,319,17,29,2013-01-18 17:00:00
"203",2013,1,18,2253,1800,293,100,2015,285,"EV",4397,"N11164","EWR","MCI",167,1092,18,0,2013-01-18 18:00:00
"204",2013,1,18,2333,1858,275,103,2055,248,"EV",5038,"N611QX","LGA","BHM",124,866,18,58,2013-01-18 18:00:00
"205",2013,1,19,1441,1235,126,1630,1415,135,"MQ",4404,"N856MQ","JFK","RDU",71,427,12,35,2013-01-19 12:00:00
